mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	0	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	0	3/4	3/4	0						3
3	3	6	3.0	0	3/4	3/4	0						4
4	4	9	3.0	0	3/4	3/4	0						5
5	5	12	3.0	0	3/4	3/4	0						6
6	6	15	3.0	0	3/4	3/4	0						7
7	7	18	3.0	0	3/4	3/4	0						8
8	8	21	3.0	0	3/4	3/4	0					end	1, 9
9	9	24	1.0	0	3/4	1/4	0						10
10	10	25	3.0	0	3/4	3/4	0						11
11	11	28	3.0	0	3/4	3/4	0						12
12	12	31	3.0	0	3/4	3/4	0						13
13	13	34	3.0	0	3/4	3/4	0						14
14	14	37	3.0	0	3/4	3/4	0						15
15	15	40	3.0	0	3/4	3/4	0						16
16	16	43	3.0	0	3/4	3/4	0						17
17	17	46	3.0	0	3/4	3/4	0					lastMeasure	-1
